Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
brickTunnelCenter,blocks,Block,New,Brick Tunnel 3m Center,,,,,
brickTunnelCorner,blocks,Block,New,Brick Tunnel 3m Corner,,,,,
brickWedge,blocks,Block,New,Brick Wedge,,,,,
brickWedgeCNRInsideBottom,blocks,Block,New,Brick Wedge Inside Corner Bottom,,Ziegel Schräge Innenecke Unten,,,
brickWedgeCNRInsideSteepBase,blocks,Block,New,Brick Wedge Steep Inside Corner Base,,,,,
brickWedgeCNRInsideSteepTop,blocks,Block,New,Brick Wedge Steep Inside Corner Top,,,,,
brickWedgeCNRInsideTop,blocks,Block,New,Brick Wedge Inside Corner Top,,Ziegel Schräge Innenecke Oben,,,
brickWedgeCNRSteepBase,blocks,Block,New,Brick Wedge Steep Corner Base,,,,,
brickWedgeCNRSteepTop,blocks,Block,New,Brick Wedge Steep Corner Top,,,,,
brickWedgeIncline,blocks,Block,New,Brick Wedge Incline,,Ziegel Dachvorsprung,,,
brickWedgeInclineCornerTop,blocks,Block,New,Brick Wedge Incline Corner Top,,,,,
brickWedgeNarrowHigh,blocks,Block,New,Brick Narrow Wedge High,,,,,
brickWedgeNarrowLow,blocks,Block,New,Brick Narrow Wedge Low,,,,,
brickWedgeNarrowMid,blocks,Block,New,Brick Narrow Wedge Mid,,,,,
brickWedgeNarrowTip,blocks,Block,New,Brick Narrow Wedge Tip,,,,,
brickWedgeStairs,blocks,Block,New,Brick Wedge Stairs,,,,,
brickWedgeTip,blocks,Block,New,Brick Wedge Tip,,,,,
brickWedgeTipCNRFullBottom,blocks,Block,New,Brick Wedge Full Corner Bottom,,Ziegel Schrägenspitze Komplette Ecke Unten,,,
brickWedgeTipCNRFullTop,blocks,Block,New,Brick Wedge Full Corner Top,,Ziegel Schrägenspitze Komplette Ecke Oben,,,
brickWedgeTipStairs,blocks,Block,New,Brick Wedge Tip Stairs,,,,,
brickWindowArch3MCNR,blocks,Block,New,Brick 3m Arch Window Corner,,,,,
brickWindowArch3MCTR,blocks,Block,New,Brick 3m Arch Window Center,,,,,
brickWindowArch3MTip,blocks,Block,New,Brick 3m Arch Window Tip,,,,,
brickWindowArchTop,blocks,Block,New,Brick Window Arch Top,,,,,
brickWindowCircle,blocks,Block,New,Brick Window Circle,,,,,
brickWindowCircleCorner,blocks,Block,New,Brick Window Circle Corner,,,,,
bridgeConcreteBlock,blocks,Block,KgNone,Bridge Concrete Block,Bloc de pont en béton,Brücke – Betonblock,,Puente Bloque de hormigón,
bridgeMetalRivetBlock,blocks,Block,KgNone,Bridge Metal Rivet Block,Bloc de pont à rivets métalliques,Brücke – Genieteter Metallblock,,Puente Bloque con remaches de metal,
bridgeWoodBlock,blocks,Block,KgNone,Bridge Wood Block,Bloc de pont en bois,Brücke – Holzblock,,Puente Bloque de madera,
buildingBlockGroupDesc,blocks,Block,New,A building block from the creative menu.,,,,,
bulletproofGlassGroupDesc,blocks,Block,New,Bulletproof Glass can be repaired but requires completely new blocks of the same type as repair material.,,Panzerglas kann repariert werden aber verbraucht dabei Scheiben des genau gleichen Typs.,,,
burningBarrel,blocks,Block,EnChanged,Burning Barrel (POI),Baril en feu,Brennendes Fass (POI),,Barril en llamas,
burningBarrelDesc,blocks,Block,New,The burning barrel is an essential prop in every post-apocalyptic setting.,,,,,
burningBarrelPlayer,blocks,Block,KgNone,Burning Barrel,Baril en feu,Brennendes Fass,,Barril en llamas,
burntWoodBlock1,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 1,Bardage en bois blanc brûlé 1,Verkohltes Holz – Block 1,,Panel de madera blanco para revestimiento quemado 1,
burntWoodBlock2,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 2,Bardage en bois blanc brûlé 2,Verkohltes Holz – Block 2,,Panel de madera blanco para revestimiento quemado 2,
burntWoodBlock3,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 3,Bardage en bois blanc brûlé 3,Verkohltes Holz – Block 3,,Panel de madera blanco para revestimiento quemado 3,
burntWoodBlock4,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 4,Bardage en bois blanc brûlé 4,Verkohltes Holz – Block 4,,Panel de madera blanco para revestimiento quemado 4,
burntWoodBlock5,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 5,Bardage en bois blanc brûlé 5,Verkohltes Holz – Block 5,,Panel de madera blanco para revestimiento quemado 5,
burntWoodBlock6,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Block 6,Bardage en bois blanc brûlé 6,Verkohltes Holz – Block 6,,Panel de madera blanco para revestimiento quemado 6,
burntWoodRamp7,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Ramp 7,Bardage en bois blanc brûlé 7,Verkohltes Holz – Rampe 7,,Panel de madera blanco para revestimiento quemado 7,
burntWoodRoof,blocks,Block,New,Burnt Wood Roof,,,,,
burntWoodWedge7,blocks,Block,KeyChanged EnChanged GrChanged,Burnt Wood Wedge 7,Bardage en bois blanc brûlé 7,Verkohltes Holz – Schräge 7,,Panel de madera blanco para revestimiento quemado 7,
cable1,blocks,Block,KgNone,Cable1,Câble 1,Kabel 1,,Cable 1,
carsRandomHelper,blocks,Block,KgNone,= Cars = Random Helper,Voitures aléatoires,Zufällige Autos,,Coches al azar,
carsRandomHelperDesc,blocks,Block,New,"Will randomly spawn (mostly) undamaged, (rare) damaged, (very rare) car wreck",,,,,
carWrecksRandomHelper,blocks,Block,New,= Car Wrecks = Random Helper,,,,,
carWrecksRandomHelperDesc,blocks,Block,New,Will randomly spawn car wrecks,,,,,
chainLink,blocks,Block,GrChanged,Chain Link,Grillage,Maschendrahtzaun,,Eslabón,
chainLinkCornerBottom,blocks,Block,GrChanged,Chain Link Corner Bottom,Angle inférieur de grillage,Maschendrahtzaun – Untere Ecke,,Eslabón inferior de esquina,
chainLinkCornerTop,blocks,Block,GrChanged,Chain Link Corner Top,Angle supérieur de grillage,Maschendrahtzaun – Obere Ecke,,Eslabón superior de esquina,
chainLinkFenceBottomPole,blocks,Block,GrChanged,Chain Link Fence Bottom Pole,Pied de poteau de grillage,Maschendrahtzaun – Unterer Zaunpfahl,,Poste de eslabón inferior de valla,
chainLinkFenceTop,blocks,Block,GrChanged,Chain Link Fence Top,Sommet de grillage,Maschendrahtzaun – Oberer Zaun,,Eslabón superior de valla,
chainLinkFenceTopPole,blocks,Block,GrChanged,Chain Link Fence Top Pole,Sommet de poteau de grillage,Maschendrahtzaun – Oberer Zaunpfosten,,Poste de eslabón superior de valla,
chainLinkFenceTopPole2,blocks,Block,GrChanged,Chain Link Fence Top Pole 2,Sommet de poteau de grillage 2,Maschendrahtzaun – Oberer Zaunpfosten 2,,Poste de eslabón superior de valla 2,
chainLinkPole,blocks,Block,GrChanged,Chain Link Pole,Poteau de grillage,Maschendrahtzaun – Pfosten,,Poste de eslabón,
chairCouchSofa01,blocks,Block,KeyChanged EnChanged GrChanged,Sofa Chair 01,Chaise 01,Ledersessel 01,,Silla 01,
cinderBlocks01,blocks,Block,KgNone,Cinder Blocks01,Parpaings 01,Porenbetonsteine 01,,Bloques de cemento 01,
cinderBlocks02,blocks,Block,KgNone,Cinder Blocks02,Parpaings 02,Porenbetonsteine 02,,Bloques de cemento 02,
cinderBlocks03,blocks,Block,KgNone,Cinder Blocks03,Parpaings 03,Porenbetonsteine 03,,Bloques de cemento 03,
clothGroupDesc,blocks,Block,New,A dense roll of paper. Most should still be good to use.,,,,,
clothPillar100,blocks,Block,New,Industrial Carpet Roll 100,,,,,
clothPillar50,blocks,Block,New,Industrial Carpet Roll 50,,,,,
cntBarrelAcidQuadA,blocks,Block,New,Acid Barrel Group A,,,,,
cntBarrelAcidQuadB,blocks,Block,New,Acid Barrel Group B,,,,,
cntBarrelAcidSingle00,blocks,Block,New,Acid Barrel,,,,,
cntBarrelAcidSingle45,blocks,Block,New,Acid Barrel 45,,,,,
cntBarrelGasOld,blocks,Block,KgNone,Gas Barrel,Baril de pétrole,Benzinfass,,Barril de gas,
cntBarrelGasQuadA,blocks,Block,New,Gas Barrel Group A,,,,,
cntBarrelGasQuadB,blocks,Block,New,Gas Barrel Group B,,,,,
cntBarrelGasSingle00,blocks,Block,New,Gas Barrel,,,,,
cntBarrelGasSingle45,blocks,Block,New,Gas Barrel 45,,,,,
cntBarrelGenericQuadA,blocks,Block,New,Rusty Barrel Group A,,,,,
cntBarrelGenericQuadB,blocks,Block,New,Rusty Barrel Group B,,,,,
cntBarrelGenericSingle00,blocks,Block,New,Rusty Barrel,,,,,
cntBarrelGenericSingle45,blocks,Block,New,Rusty Barrel 45,,,,,
cntBarrelGroupDesc,blocks,Block,New,Barrels can be looted and will explode if hit by zombies or destroyed by tools without harvest tags such as guns.\nThe player may catch an AOE debuff based on the barrel type.,,,,,
cntBarrelOilQuadA,blocks,Block,New,Oil Barrel Group A,,,,,
cntBarrelOilQuadB,blocks,Block,New,Oil Barrel Group B,,,,,
cntBarrelOilSingle00,blocks,Block,New,Oil Barrel,,,,,
cntBarrelOilSingle45,blocks,Block,New,Oil Barrel 45,,,,,
cntBarrelPlasticQuadA,blocks,Block,New,Plastic Barrel Group A,,,,,
cntBarrelPlasticQuadB,blocks,Block,New,Plastic Barrel Group B,,,,,
cntBarrelPlasticSingle00,blocks,Block,New,Plastic Barrel,,,,,
cntBarrelPlasticSingle45,blocks,Block,New,Plastic Barrel 45,,,,,
cntBarrelRadiatedQuadA,blocks,Block,New,Radioactive Waste Barrel Group A,,,,,
cntBarrelRadiatedQuadB,blocks,Block,New,Radioactive Waste Barrel Group B,,,,,
cntBarrelRadiatedSingle00,blocks,Block,New,Radioactive Waste Barrel,,,,,
cntBarrelRadiatedSingle45,blocks,Block,New,Radioactive Waste Barrel 45,,,,,
cntBarrelWhiteQuadA,blocks,Block,New,White Barrel Group A,,,,,
cntBarrelWhiteQuadB,blocks,Block,New,White Barrel Group B,,,,,
cntBarrelWhiteSingle00,blocks,Block,New,White Barrel,,,,,
cntBarrelWhiteSingle45,blocks,Block,New,White Barrel 45,,,,,
cobblestoneArch,blocks,Block,New,Cobblestone Arch 2m,,,,,
cobblestoneArrowSlitHalf,blocks,Block,New,Cobblestone Arrow Slit,,,,,
cobblestoneBlock,blocks,Block,KgNone,Cobblestone Block,Bloc de pavés,Pflastersteinblock,,Bloque de adoquines,
cobblestoneCNRFull,blocks,Block,New,Cobblestone Full Corner,,,,,
cobblestoneCNRInside,blocks,Block,New,Cobblestone Inside Corner,,,,,
cobblestoneCNRRamp,blocks,Block,New,Cobblestone CNR Ramp,,,,,
cobblestoneCNRRampFiller,blocks,Block,New,Cobblestone Ramp Corner Filler,,Pflasterstein – Rampenecke Füller,,,
cobblestoneCTRpole,blocks,Block,New,cobblestone Pole Centered,,,,,
cobblestoneGableInvertedHalf,blocks,Block,New,Cobblestone Gable Inverted Half,,,,,
cobblestoneGableInvertedQuarter,blocks,Block,New,Cobblestone Gable Inverted Quarter,,,,,
cobblestoneGableInvertedSteep,blocks,Block,New,Cobblestone Gable Inverted Steep,,,,,
cobblestoneGableQuarter,blocks,Block,New,Cobblestone Gable Quarter,,,,,
cobblestoneGroupDesc,blocks,Block,New,You get Cobblestone by upgrading Flagstone blocks. One of the strongest blocks you can build early on.,,,,,
cobblestoneHalf,blocks,Block,New,cobblestone 1/2 Block,,,,,
cobblestonePillar100,blocks,Block,New,Cobblestone Pillar 100,,,,,
cobblestonePillar50,blocks,Block,New,Cobblestone Pillar 50,,,,,
cobblestonePlate,blocks,Block,New,Cobblestone Plate,,,,,
cobblestonePlateOffset,blocks,Block,New,Cobblestone Plate Offset,,,,,
cobblestonePole,blocks,Block,New,Cobblestone Pole,,,,,
cobblestonePyramid,blocks,Block,New,Cobblestone Pyramid,,,,,
cobblestoneQuarterCNR,blocks,Block,New,Cobblestone 1/4 Corner,,,,,
cobblestoneQuarterCNR3Way,blocks,Block,New,Cobblestone 1/4 Corner 3Way,,,,,
cobblestoneQuarterSCtr,blocks,Block,New,Cobblestone 1/4 SCtr,,,,,
cobblestoneQuarterTeeSCtr,blocks,Block,New,Cobblestone 1/4 T SCtr,,,,,
cobblestoneRamp,blocks,Block,KgNone,Cobblestone Ramp,Rampe en pavés,Pflastersteinrampe,,Rampa de adoquines,
cobblestoneStairs25,blocks,Block,KgNone,Cobblestone Stairs,Escaliers en pavés,Pflastersteinstufen,,Escaleras de adoquines,
cobblestoneStairs25CornerCNR,blocks,Block,New,Cobblestone Stairs Corner,,Pflasterstein Stufenecke,,,
cobblestoneStairs25Desc,blocks,Block,KgNone,Can be upgraded to concrete.,Ils peuvent également être améliorés pour obtenir des escaliers en béton.,Aufwertung zu Beton möglich.,,Se puede mejorar a hormigón.,
cobblestoneStairsFilledRailingLeft,blocks,Block,New,"Cobblestone Stairs, Railing Left",,,,,
cobblestoneStairsFilledRailingRight,blocks,Block,New,"Cobblestone Stairs, Railing Right",,,,,
cobblestoneSupport,blocks,Block,New,Cobblestone Support,,,,,
cobblestoneWedge,blocks,Block,New,Cobblestone Wedge,,,,,
cobblestoneWedgeCNRInsideBottom,blocks,Block,New,Cobblestone Wedge Inside Corner Bottom,,Pflasterstein Schräge Innenecke Unten,,,
cobblestoneWedgeCNRInsideSteepBase,blocks,Block,New,Cobblestone Wedge Steep Inside Corner Base,,,,,
cobblestoneWedgeCNRInsideSteepTop,blocks,Block,New,Cobblestone Wedge Steep Inside Corner Top,,,,,
cobblestoneWedgeCNRInsideTop,blocks,Block,New,Cobblestone Wedge Inside Corner Top,,Pflasterstein Schräge Innenecke Oben,,,
cobblestoneWedgeCNRSteepBase,blocks,Block,New,Cobblestone Wedge Steep Corner Base,,,,,
cobblestoneWedgeCNRSteepTop,blocks,Block,New,Cobblestone Wedge Steep Corner Top,,,,,
cobblestoneWedgeIncline,blocks,Block,New,Cobblestone Wedge Incline,,,,,
cobblestoneWedgeStairs,blocks,Block,New,Cobblestone Wedge Stairs,,,,,
cobblestoneWedgeTip,blocks,Block,New,Cobblestone Wedge Tip,,,,,
cobblestoneWedgeTipCNRFullBottom,blocks,Block,New,Cobblestone Wedge Full Corner Bottom,,Pflasterstein Schrägenspitze Komplette Ecke Unten,,,
cobblestoneWedgeTipCNRFullTop,blocks,Block,New,Cobblestone Wedge Full Corner Top,,Pflasterstein Schrägenspitze Komplette Ecke Oben,,,
cobblestoneWedgeTipStairs,blocks,Block,New,Cobblestone Wedge Tip Stairs,,,,,
cobweb,blocks,Block,KgNone,Cobweb,Toile d'araignée,Spinnennetz,,Telaraña,
cobwebDesc,blocks,Block,KgNone,A cobweb made by a spider. If this was Marvel it might mean something.,"La toile d'une araignée. Chez Marvel, ça aurait peut-être voulu dire quelque chose.","Das Netz einer Spinne. Wenn das hier Marvel wäre, dann könnte das auch etwas bedeuten.",,Una telaraña hecha por una araña. Si esto fuera Marvel podría significar algo.,
coffeeTable,blocks,Block,New,Coffee Table,,,,,
commercialBlindsBottom,blocks,Block,New,Commercial Blinds Bottom,,,,,
commercialBlindsTop,blocks,Block,New,Commercial Blinds Top,,,,,
concreteArch,blocks,Block,New,Concrete Arch 2m,,,,,
concreteArrowSlitHalf,blocks,Block,New,Concrete Arrow Slit,,,,,
concreteBarrier1,blocks,Block,New,Concrete Barrier 1,,,,,
concreteBarrier2,blocks,Block,New,Concrete Barrier 2,,,,,
concreteBarrier3,blocks,Block,New,Concrete Barrier 3,,,,,
concreteBlock,blocks,Block,KgNone,Concrete Block,Bloc de béton,Betonblock,,Bloque de hormigón,
concreteBlockBaseboard1,blocks,Block,New,Concrete Block Baseboard 1,,,,,
concreteBlockBaseboard4,blocks,Block,New,Concrete Block Baseboard 4,,,,,
concreteBlockBaseboardChairRail1,blocks,Block,New,Concrete Block Baseboard Chair Rail 1,,,,,
concreteBlockBaseboardChairRail4,blocks,Block,New,Concrete Block Baseboard Chair Rail 4,,,,,
concreteBlockTileBroken01,blocks,Block,New,"Concrete Block, Broken Tile",,,,,
concreteCNRFull,blocks,Block,KgNone,Concrete Full Corner,Angle complet en béton,Beton – Komplette Ecke,,Esquina de hormigón,
concreteCNRInside,blocks,Block,KgNone,Concrete Inside Corner,Angle intérieur en béton,Beton – Innenecke,,Esquina interior de hormigón,
concreteCNRRamp,blocks,Block,KgNone,Concrete Ramp Corner,Angle de rampe en béton,Beton – Rampenecke,,Esquina de rampa de hormigón,
concreteCNRRampFiller,blocks,Block,New,Concrete Ramp Corner Filler,,Beton – Rampenecke Füller,,,
concreteCNRRound,blocks,Block,New,Concrete Corner Round,,,,,
concreteCNRRoundTop,blocks,Block,New,Concrete Corner Round Top,,,,,
concreteCornerstone,blocks,Block,New,Concrete Cornerstone,,,,,
concreteCTRPlate,blocks,Block,KgNone,Concrete Plate Centered,Plaque centrée en béton,Betonplatte mittig,,Placa de hormigón centrada,
concreteCTRpole,blocks,Block,New,Concrete Pole Centered,,,,,
concreteCTRQuarter,blocks,Block,New,Concrete 1/4 Block Centered,,,,,
concreteDestroyed01,blocks,Block,New,Concrete Destroyed 01,,,,,
concreteDestroyed02,blocks,Block,New,Concrete Destroyed 02,,,,,
concreteDestroyed03,blocks,Block,New,Concrete Destroyed 03,,,,,
concreteDestroyed04,blocks,Block,New,Concrete Destroyed 04,,,,,
concreteDestroyed05,blocks,Block,New,Concrete Destroyed 05,,,,,
concreteDestroyed06,blocks,Block,New,Concrete Destroyed 06,,,,,
concreteDestroyed07,blocks,Block,New,Concrete Destroyed 07,,,,,
concreteEighth,blocks,Block,KgNone,Concrete 1/8 Block,1/8 de bloc de béton,1/8 Betonblock,,1/8 de bloque de hormigón,
concreteFormBlock,blocks,Block,KgNone,Concrete Form Block,Bloc moule de béton,Betonschalung – Block,,Bloque de forma de hormigón,
concreteFormCNRInside,blocks,Block,KgNone,Concrete Form Corner Inside,Angle intérieur - finition béton,Betonschalung – Innenecke,,Esquina interior de forma de hormigón,
concreteFormCTRpole,blocks,Block,New,Concrete Form Pole Centered,,,,,
concreteFormRamp,blocks,Block,KgNone,Concrete Form Ramp,Rampe en béton coffré,Betonschalung – Rampe,,Rampa de forma de hormigón,
concreteGable1m,blocks,Block,New,Concrete Gable 1m,,,,,
concreteGableInvertedHalf,blocks,Block,New,Concrete Gable Inverted Half,,,,,
